Component,Quantity,Price (CAD),
,,,
Parts,,,
0805 Capacitor Kit,720pcs,6.35,
Electrolytic Capacitor Kit,130pcs,5.8,
0805 Resistor Kit,1280pcs,7.23,
Tantalm Capacitor 2.2uF 16v A,10pcs,3.43,
12Mhz Passive Crystal,50pcs,5.49,
PCM2704CBDR,2pcs,13.31,7.52+5.79 (shipping)
KT0803L,5pcs,7.74,1.33+6.41(shipping)
MIC2505-3.3YM5,10pcs,2.09,
USBLC6-2SC6,10pcs,2.09,
UFL Seat,10pcs,2.09,
PH2.0 Connecotrs,20sets,2.07,
0805 Ferrite Bead 60ohms,100pcs,3.17,
USB-05 Connector,10pcs,2.81,
Antenna Wire,10pcs,4.35,
,,,
Tools,,,
Solder Paste,30gm,6.21,
Bundle Deal,,,
Tweezers,2pcs,3.49,
Magnifying Glass,1pc,9.49,
Reflow Plate,1pc,12.59,
,,,
PCB,,,
PCB,5pcs,5.2,
Stencil,1pc,7,
Shipping (cheapest),,23.73,
Coupon,,-5,
,,,
,,,
Subtotal,,130.73,
10% Margin,,13,
Grand Total,,~$143 CAD,
,,~$105 USD,